institution,state,division,year,partic_total,recruit_total,recruit_per_athlete,aid_total,aid_per_athlete,vs_division_median
Alabama A & M University,AL,NCAA D1 (FCS),2024,498,116367,233.66867469879517,4550865,9138.283132530121,0.33150457687574436
University of Alabama at Birmingham,AL,NCAA D1 (FBS),2024,416,783382,1883.1298076923076,8298059,19947.25721153846,0.5233337006744703
University of Alabama in Huntsville,AL,NCAA D2,2024,390,62778,160.96923076923076,2856753,7325.007692307692,1.282050992377822
Alabama State University,AL,NCAA D1 (FCS),2024,285,122299,429.11929824561406,3510153,12316.326315789474,0.6087893962573244
The University of Alabama,AL,NCAA D1 (FBS),2024,668,6162081,9224.672155688622,17188945,25731.95359281437,2.5635948180658126
Central Alabama Community College,AL,2-Year (JUCO),2024,73,0,0.0,413672,5666.739726027397,0.0
Auburn University at Montgomery,AL,NCAA D2,2024,204,27225,133.4558823529412,2867146,14054.637254901962,1.0629189540859219
Auburn University,AL,NCAA D1 (FBS),2024,555,4409793,7945.572972972973,18831651,33930.902702702704,2.208125053801082
Chattahoochee Valley Community College,AL,2-Year (JUCO),2024,81,0,0.0,521670,6440.37037037037,0.0
Enterprise State Community College,AL,2-Year (JUCO),2024,141,0,0.0,1213464,8606.127659574468,0.0
Coastal Alabama Community College,AL,2-Year (JUCO),2024,299,7834,26.20066889632107,2177300,7281.939799331104,2.751528822250754
Faulkner University,AL,NAIA,2024,353,43610,123.54107648725213,3952935,11198.116147308781,1.9781327540554694
Gadsden State Community College,AL,2-Year (JUCO),2024,142,0,0.0,566104,3986.6478873239435,0.0
George C Wallace Community College-Dothan,AL,2-Year (JUCO),2024,65,0,0.0,373718,5749.507692307692,0.0
George C Wallace State Community College-Hanceville,AL,2-Year (JUCO),2024,179,2059,11.502793296089385,1187530,6634.245810055866,1.2079946285274734
George C Wallace State Community College-Selma,AL,2-Year (JUCO),2024,70,8290,118.42857142857143,166900,2384.285714285714,12.437072845474246
Huntingdon College,AL,NCAA D3,2024,563,95031,168.79396092362344,1176724,2090.095914742451,1.493526895479932
Jacksonville State University,AL,NCAA D1 (FBS),2024,421,694630,1649.9524940617578,7350966,17460.726840855106,0.45853224834912626
Jefferson State Community College,AL,2-Year (JUCO),2024,27,0,0.0,210173,7784.185185185185,0.0
John C Calhoun State Community College,AL,2-Year (JUCO),2024,128,0,0.0,791154,6180.890625,0.0
Lawson State Community College,AL,2-Year (JUCO),2024,68,10000,147.05882352941177,432178,6355.558823529412,15.443750428993068
University of West Alabama,AL,NCAA D2,2024,347,112272,323.55043227665703,4348069,12530.458213256485,2.5769406414027047
Lurleen B Wallace Community College,AL,2-Year (JUCO),2024,124,3509,28.298387096774192,589548,4754.419354838709,2.9718259494862047
Marion Military Institute,AL,2-Year (JUCO),2024,104,15251,146.64423076923077,972287,9348.913461538461,15.40021093259133
Miles College,AL,NCAA D2,2024,256,51402,200.7890625,1250214,4883.6484375,1.5991989003524747
University of Mobile,AL,NAIA,2024,339,10199,30.085545722713864,6913796,20394.678466076697,0.48172806251914707
University of Montevallo,AL,NCAA D2,2024,531,70733,133.2071563088512,3082080,5804.293785310734,1.060937957654915
Northwest Shoals Community College,AL,2-Year (JUCO),2024,66,297,4.5,435000,6590.909090909091,0.4725787631271879
University of North Alabama,AL,NCAA D1 (FCS),2024,356,184423,518.0421348314607,4798079,13477.75,0.7349437785466079
Northeast Alabama Community College,AL,2-Year (JUCO),2024,52,0,0.0,291769,5610.942307692308,0.0
Oakwood University,AL,NAIA,2024,110,3955,35.95454545454545,350000,3181.818181818182,0.5757021554539516
Reid State Technical College,AL,2-Year (JUCO),2024,65,2456,37.784615384615385,508918,7829.507692307692,3.968045956377345
Bishop State Community College,AL,2-Year (JUCO),2024,95,475,5.0,654047,6884.7052631578945,0.5250875145857643
Samford University,AL,NCAA D1 (FCS),2024,388,255128,657.5463917525773,10494364,27047.329896907217,0.9328577681843399
Shelton State Community College,AL,2-Year (JUCO),2024,136,0,0.0,789349,5804.036764705882,0.0
Snead State Community College,AL,Other,2024,128,4446,34.734375,703452,5495.71875,inf
University of South Alabama,AL,NCAA D1 (FBS),2024,386,821007,2126.961139896373,7899489,20464.997409326425,0.5910959722403981
Spring Hill College,AL,NCAA D2,2024,293,24063,82.12627986348123,2652245,9052.03071672355,0.654100650764873
Stillman College,AL,NAIA,2024,159,0,0.0,436665,2746.3207547169814,0.0
Talladega College,AL,NAIA,2024,80,30333,379.1625,455868,5698.35,6.071128580759542
Troy University,AL,NCAA D1 (FBS),2024,413,533038,1290.6489104116222,6554484,15870.421307506052,0.3586795067435681
Tuskegee University,AL,NCAA D2,2024,345,89812,260.3246376811594,1446851,4193.771014492753,2.073374262178083
United States Sports University,AL,Other,2024,113,6610,58.49557522123894,586630,5191.41592920354,inf
Bevill State Community College,AL,2-Year (JUCO),2024,105,0,0.0,126562,1205.352380952381,0.0
University of Alaska Anchorage,AK,NCAA D2,2024,193,91205,472.56476683937825,2159839,11190.875647668394,3.7637760048551314
University of Alaska Fairbanks,AK,NCAA D2,2024,140,86825,620.1785714285714,1882331,13445.221428571429,4.939456746807312
Arizona State University Campus Immersion,AZ,NCAA D1 (FBS),2024,616,2513287,4080.0113636363635,19572580,31773.66883116883,1.1338609993871385
Arizona Western College,AZ,2-Year (JUCO),2024,150,22869,152.46,1623560,10823.733333333334,16.010968494749125
University of Arizona,AZ,NCAA D1 (FBS),2024,501,3399513,6785.45508982036,12761727,25472.508982035928,1.885720946272829
Central Arizona College,AZ,2-Year (JUCO),2024,228,12374,54.271929824561404,947076,4153.8421052631575,5.6995025486703925
Cochise County Community College District,AZ,2-Year (JUCO),2024,106,27633,260.688679245283,737196,6954.679245283019,27.376874133110235
Eastern Arizona College,AZ,2-Year (JUCO),2024,169,161802,957.4082840236687,0,0.0,100.54462726036193
Embry-Riddle Aeronautical University-Prescott,AZ,NAIA,2024,230,40284,175.1478260869565,2872937,12491.03043478261,2.8044571201382604
Glendale Community College,AZ,2-Year (JUCO),2024,243,0,0.0,121712,500.87242798353907,0.0
Grand Canyon University,AZ,NCAA D1 (No Football),2024,441,723085,1639.6485260770976,5695696,12915.410430839001,2.096619471245219
GateWay Community College,AZ,2-Year (JUCO),2024,80,0,0.0,42959,536.9875,0.0
Mesa Community College,AZ,2-Year (JUCO),2024,241,0,0.0,99450,412.655601659751,0.0
Mohave Community College,AZ,2-Year (JUCO),2024,48,2631,54.8125,109500,2281.25,5.756271878646441
Dine College,AZ,Other,2024,26,1000,38.46153846153846,26000,1000.0,inf
Northern Arizona University,AZ,NCAA D1 (FCS),2024,353,310965,880.9206798866855,6708768,19005.00849858357,1.2497577504702408
Phoenix College,AZ,2-Year (JUCO),2024,153,0,0.0,158801,1037.9150326797385,0.0
Pima Community College,AZ,2-Year (JUCO),2024,284,0,0.0,495154,1743.5,0.0
Scottsdale Community College,AZ,2-Year (JUCO),2024,157,0,0.0,62400,397.45222929936307,0.0
South Mountain Community College,AZ,2-Year (JUCO),2024,141,0,0.0,106029,751.9787234042553,0.0
Arizona Christian University,AZ,NAIA,2024,520,20920,40.23076923076923,10247129,19706.01730769231,0.6441728095549129
Yavapai College,AZ,2-Year (JUCO),2024,155,0,0.0,644038,4155.083870967742,0.0
University of Arkansas at Little Rock,AR,NCAA D1 (No Football),2024,278,211793,761.8453237410072,3066006,11028.79856115108,0.9741720340847041
Arkansas Baptist College,AR,NAIA,2024,193,6376,33.03626943005181,190333,986.1813471502591,0.5289748842210404
Lyon College,AR,NCAA D3,2024,395,118022,298.78987341772154,0,0.0,2.6437599402524405
University of Arkansas,AR,NCAA D1 (FBS),2024,457,3366515,7366.5536105032825,12574253,27514.77680525164,2.047211905655032
University of Arkansas at Pine Bluff,AR,NCAA D1 (FCS),2024,298,10819,36.30536912751678,2649393,8890.580536912752,0.05150624509874544
Arkansas State University,AR,NCAA D1 (FBS),2024,412,1040179,2524.7063106796118,7364982,17876.16990291262,0.7016318743864506
Arkansas Tech University,AR,NCAA D2,2024,314,33472,106.59872611464968,2048658,6524.388535031847,0.8490132054953062
University of Arkansas at Monticello,AR,NCAA D2,2024,271,69228,255.4538745387454,1495307,5517.738007380074,2.034580719520719
University of Central Arkansas,AR,NCAA D1 (FCS),2024,524,308749,589.2156488549618,5728482,10932.217557251908,0.8359172859349402
Central Baptist College,AR,NAIA,2024,193,11853,61.41450777202073,1617329,8379.943005181347,0.9833656371819313
Cossatot Community College of the University of Arkansas,AR,2-Year (JUCO),2024,68,11180,164.41176470588235,57804,850.0588235294117,17.26611297961425
Crowley's Ridge College,AR,NAIA,2024,126,10932,86.76190476190476,429374,3407.7301587301586,1.3892267292285954
National Park College,AR,2-Year (JUCO),2024,155,4415,28.483870967741936,249845,1611.9032258064517,2.9913050024466443
Harding University,AR,NCAA D2,2024,445,78090,175.48314606741573,4405176,9899.27191011236,1.397648112538022
Henderson State University,AR,NCAA D2,2024,388,37248,96.0,2395663,6174.389175257732,0.7645988906085837
Hendrix College,AR,NCAA D3,2024,462,94172,203.83549783549785,0,0.0,1.8035822881637862
John Brown University,AR,NAIA,2024,198,10042,50.717171717171716,1794491,9063.085858585859,0.8120804951634475
Arkansas State University Mid-South,AR,2-Year (JUCO),2024,63,3602,57.17460317460318,57204,908.0,6.004334055675947
North Arkansas College,AR,2-Year (JUCO),2024,87,4500,51.724137931034484,87354,1004.0689655172414,5.4319398060596304
Ouachita Baptist University,AR,NCAA D2,2024,577,105293,182.48353552859618,4313469,7475.682842287695,1.4534032168697573
Arkansas State University Three Rivers,AR,2-Year (JUCO),2024,51,6476,126.98039215686275,35650,699.0196078431372,13.335163703754548
University of the Ozarks,AR,NCAA D3,2024,253,47505,187.76679841897234,0,0.0,1.6614028249730224
Philander Smith University,AR,NAIA,2024,104,1846,17.75,455741,4382.125,0.28421199962676125
Phillips Community College of the University of Arkansas,AR,2-Year (JUCO),2024,20,1560,78.0,57493,2874.65,8.191365227537924
Southeast Arkansas College,AR,2-Year (JUCO),2024,93,0,0.0,173930,1870.215053763441,0.0
University of Arkansas Community College Rich Mountain,AR,2-Year (JUCO),2024,143,3372,23.58041958041958,394771,2760.6363636363635,2.4763567820744017
Shorter College,AR,2-Year (JUCO),2024,22,400,18.181818181818183,99044,4502.0,1.909409143948234
Williams Baptist University,AR,NAIA,2024,255,16120,63.21568627450981,2585391,10138.788235294118,1.012206005851067
South Arkansas College,AR,2-Year (JUCO),2024,75,0,0.0,98865,1318.2,0.0
Southern Arkansas University Main Campus,AR,NCAA D2,2024,465,22232,47.810752688172045,2013276,4329.625806451613,0.3807921715056011
Southern Arkansas University Tech,AR,2-Year (JUCO),2024,86,0,0.0,118978,1383.4651162790697,0.0
University of Arkansas-Fort Smith,AR,NCAA D2,2024,144,30615,212.60416666666666,1166694,8102.041666666667,1.693301145542664
College of Alameda,CA,2-Year (JUCO),2024,16,500,31.25,0,0.0,3.2817969661610267
Allan Hancock College,CA,2-Year (JUCO),2024,274,0,0.0,0,0.0,0.0
American River College,CA,2-Year (JUCO),2024,463,0,0.0,0,0.0,0.0
Antelope Valley Community College District,CA,2-Year (JUCO),2024,309,0,0.0,0,0.0,0.0
Azusa Pacific University,CA,NCAA D2,2024,326,16018,49.13496932515337,4626892,14192.920245398773,0.39133898995936517
Bakersfield College,CA,2-Year (JUCO),2024,423,0,0.0,0,0.0,0.0
Barstow Community College,CA,2-Year (JUCO),2024,47,30205,642.6595744680851,0,0.0,67.49050373643834
Bethesda University,CA,Other,2024,103,0,0.0,78515,762.2815533980582,
Biola University,CA,NCAA D2,2024,370,43266,116.93513513513514,4885952,13205.275675675675,0.9313382770571785
Butte College,CA,2-Year (JUCO),2024,258,0,0.0,0,0.0,0.0
